source,year,simpname,nationality,edu,prof,org,loc,lon,lat
imm,1909,"cook, s f",,,engineer,hannan s land co ltd,perth w a,115.8604572,-31.9505269
imm,1909,"copland, m m",,,engineer,roberts victor diamonds ltd,roberts victor diamonds,4.4185594,51.2150936
imm,1909,"corbet, a s",,,engineer,sat tarn mining ltd,andrew sattam portugal,,
imm,1909,"corbet, r l",,,engineer,legeh concessions synd ltd,f m s,-96.0112711,36.0917592
imm,1909,"corbould, w h",,,engineer,lloyd copper co ltd,n s w,146.921099,-31.2532183
imm,1909,"corbould, w h",,,engineer,namaqua copper ltd,n s w,146.921099,-31.2532183
imm,1909,"christopherson, d g",,,engineer,lace proprietary mines ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"christopherson, d g",,,engineer,roberts victor diamonds ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"cosena, j d",,,engineer,mysore wynaad gold ltd,oorgaum mysore india,78.2671922,12.952626
imm,1909,"cosena, j d",,,engineer,mysore wynaad gold ltd,oorgaum mysore india,78.2671922,12.952626
imm,1909,"cotterell, t s",,,engineer,bath stone firms ltd,abbey yard bath,-2.3590167,51.3810641
imm,1909,"couldrey, p s",,,engineer,le roi no ltd,rossland british columbia,-117.8000037,49.0781415
imm,1909,"courtney, f q",,,engineer,sulphide ltd ltd,queen street melbourne,144.9596861,-37.8126461
imm,1909,"cox, p s",,,engineer,west canadian deep leads ltd,court kensington w,-0.1878251,51.5012484
imm,1909,"cox, w o",,,engineer,camp bird ltd,u s a,-95.712891,37.09024
imm,1909,"coxon, h s",,,engineer,bushveld tin mines ltd,enkeldoorn transvaal,30.9015642,-19.0085724
imm,1909,"cragoe, a s",,,engineer,great boulder proprietary gold mines ltd,parral chihuahua mexico,-105.6666166,26.9317835
imm,1909,"craig, j w",,,engineer,knight s deep ltd,germiston transvaal,28.1707794,-26.2258734
imm,1909,"craig, j w",,,engineer,simmer and jack proprietary mines ltd,germiston transvaal,28.1707794,-26.2258734
imm,1909,"craven, r h",,,engineer,libiola copper mining ltd,sestri levante italy,9.4008281,44.2763654
imm,1909,"crawford, b m",,,engineer,arizona copper ltd,b m,-95.8559197,36.2657982
imm,1909,"craee, j z",,,engineer,zeehan montana mine ltd,zeehan tasmania,145.3379509,-41.8875165
imm,1909,"creswick, w n",,,engineer,new sharlston collieries ltd,near wakefield yorke,137.6849007,-34.6793542
imm,1909,"crighton, h o",,,engineer,pusing lama tin mines ltd,perak straits settlements,101.090109,4.5921126
imm,1909,"crocker, c e",,,engineer,algoorlie electric power and lighting ltd,kalgoorlie western australia,121.466,-30.749
imm,1909,"croft, h h",,,engineer,p and s african synd ltd,vancouver copper,-123.1181968,49.2851929
imm,1909,"crobb, e g",,,engineer,oriental and glanmire gold mining ltd,gympie queensland,152.6657456,-26.1833529
imm,1909,"croudaoe, f h",,,engineer,scottish australian mining ltd,n s w,146.921099,-31.2532183
imm,1909,"cundy, j m",,,engineer,ocean coal ltd,salisbury house london,-0.0874667,51.5173981
imm,1909,"cumow, r n",,,engineer,nigel gold mining ltd,nigel heidelberg transvaal,28.3841777,-26.4910013
imm,1909,"currie, w b",,,engineer,chicago gaika development ltd,o bulawayo,28.626479,-20.1325066
imm,1909,"currie, w b",,,engineer,kent central coal estates ltd,o bulawayo,28.626479,-20.1325066
imm,1909,"currie, w b",,,engineer,new primrose gold mining ltd,o bulawayo,28.626479,-20.1325066
imm,1909,"currie, w m",,,engineer,pusing bharu tin mines ltd,perak straits settlements,101.090109,4.5921126
imm,1909,"currie, w m",,,engineer,pusing lama tin mines ltd,perak straits settlements,101.090109,4.5921126
imm,1909,"currie, w m",,,engineer,siputeh tin mines ltd,perak straits settlements,101.090109,4.5921126
imm,1909,"cutten, b c",,,engineer,fura gold dredging ltd,dimedin n z,170.5027976,-45.8787605
imm,1909,"dablm, a i",,,engineer,new anglo french general finance ltd,petits chamns paris,2.3365718,48.866831
imm,1909,"daldy, w e",,,engineer,oriental consolidated mining ltd,thames new zealand,175.5413497,-37.1384423
imm,1909,"adam, a g",,,engineer,glynn s lydenburg ltd,grootfontein sabie transvaal,30.7867129,-25.0952176
imm,1909,"daniel, d c",,,engineer,cynon colliery ltd,near neath glam,-3.783137,51.654649
imm,1909,"davey, e i",,,engineer,sheba gold mining ltd,hartley district rhodesia,,
imm,1909,"davidson, a b",,,engineer,new kleinfontein ltd,east rand transvaal,28.3461948,-26.1777025
imm,1909,"davies, d w",,,engineer,blaenclydach colliery ltd,colliery ystalyfera glam,-3.791996,51.762364
